effect,component,group,term,estimate,std.error,conf.low,conf.high
ran_pars,cond,subj_id,cor__(Intercept).X_c:X_k,0.24616131760836618,0.17585392225011223,-0.12134236164264253,0.5675331783531633
ran_pars,cond,subj_id,cor__X_c.X_c:X_k,-0.44935516523446983,0.15987682978934806,-0.7228185635209725,-0.09698444620924478
ran_pars,cond,subj_id,cor__X_k.X_c:X_k,-0.013191346089240146,0.18566529785497354,-0.3711777008465894,0.34447192017547207
fixed,cond,NA,(Intercept),0.28859322638008283,0.1114246115076388,0.07510213822317564,0.5129162772795732
fixed,cond,NA,X_c,-0.1312053641446433,0.12850066809579014,-0.38099140626263855,0.12450472559661116
fixed,cond,NA,X_k,0.013824510419179852,0.16429217088133433,-0.31177388712483567,0.3279581987087398
fixed,cond,NA,X_c:X_k,0.1789777736660911,0.15326198054088155,-0.13004930235474554,0.47684608925195265
ran_pars,cond,item_id,sd__(Intercept),0.5759765086714114,0.04631988922254872,0.49416177916040693,0.6731489748560332
ran_pars,cond,item_id,sd__X_c,0.5845041294429458,0.057237740687449946,0.48036083892008286,0.7015351549299396
ran_pars,cond,subj_id,sd__(Intercept),0.5917302697107033,0.07455325319602614,0.46852328551913347,0.7567963727269208
ran_pars,cond,subj_id,sd__X_c,0.7157987798037913,0.09210271122597988,0.5556109882705397,0.9131128340146709
ran_pars,cond,subj_id,sd__X_k,0.7336037561274537,0.09858706485884933,0.5650535340200956,0.9608583479578159
ran_pars,cond,subj_id,sd__X_c:X_k,0.4687689631067512,0.10684890800177285,0.26771243164594855,0.6880456497310338
ran_pars,cond,item_id,cor__(Intercept).X_c,0.18648432403817053,0.12471876059754208,-0.065453385039142,0.420024360419332
ran_pars,cond,subj_id,cor__(Intercept).X_c,-0.16424361061937023,0.1657691538574899,-0.47818249033652094,0.16427189139009288
